trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-71.87900671031254,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-127.24865356756156,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-181.56619866199253,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-110.78218676144823,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,15,0.39347054663790715,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,0.7198124423736463,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-59.730329414187565,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,12,-80.13645599245189,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-91.92119587965561,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-28.588928417082617,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,9,-5.869375630313872,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-183.25823746232862,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,11,-27.154525497116552,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,13,11.083925458349743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,8,-53.88797052429045,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
